問題文,解答
コンパイラの5つの機能群は,字句解析、構文解析、変数割り付け、コード生成、最適化
字句解析とは, ソ－スプログラムを読み込み，区切り記号（デリミタ：delimiter）に 囲まれた構文要素を抽出
字句解析の区切り記号の例,"空白,カンマ,ピリオド,改行,(),
算術演算子,関係演算子"
文、ステートメント(Statement),プログラムを構成する単位
演算子(operator),演算を行うもの、演算を表す記号
プログラミング言語での識別子を2つ答えよ,(変数の名前、関数の名前、クラスの名前、メソッドの名前)のうち2つをこたえる
"静的リンクと動的リンクとの違い
1.いつリンクするか
2.すべてをリンクするか
3.必要な主記憶の大きさは","s=静的リンク,d=動的リンクと略記
(1)s:実行前, t:実行中に必要になった時
(2)s:使われないものも含めて、すべてリンクされる, t:必要なものだけをリンク
(3)s:多い, t:静的リンクと比べて、少ない"
"(プログラミングで使われる次の記号の名前は？) 　=, = =, <, >, <=, >= !=, <> など ",比較演算子
(プログラミングで使われる次の記号の名前は？)  =  (ただし、比較演算子とは異なる),代入演算子
(プログラミングで使われる次の記号の名前は？)　& (C 言語のみ),アドレス演算子
(プログラミングで使われる次の記号の名前は？)　&& || or and など...,関係演算子
x-y　のオペレータ、オペランド、何項オペレータか答えよ," - , xとy , 2項"
x*y　のオペレータ、オペランド、何項オペレータか答えよ," * , xとy , 2項"
"power(x, y)  ( x の y 乗を求める関数)
のオペレータ、オペランド、何項オペレータか答えよ","power , xとy , 2項"
"wa(x,y,z)　　(x+y+z を求める関数)
のオペレータ、オペランド、何項オペレータか答えよ","wa , xとyとz , 3項"
静的リンキングと動的リンキングのメリット、デメリット,"静的リンキングは
ソースプログラムのレベルで考えられるすべての場合に対処できるように、
必要なすべてのオブジェクトプログラムモジュールを結合
動的リンキングは
必要に応じて、オブジェクトプログラムモジュールを結合するため、
記憶容量が少なくて済む、モジュールの共有が可能、モジュールのみのアップデートが可能"
予約語とは何か,"プログラミング言語であらかじめ意味を持つ言葉,
識別子(変数)として使うことができない
int (C,Java), intger(VB)
if,forなど (C,Java,VB)"
識別子とは何か,"変数として保存する場所を一意に決めたり、
関数のようにひとまとまりのプログラムを指定するなどがある"
"変数の定義に当てはまるものは以下のうちからすべて選べ（Abc, 1x, x123456, x1y2z3, p1.x)","〇 (Abc, x1y2z3)
× 1x (最初は文字で始めないといけない）
× x123456(定義では7文字以上不可）
× p1.x (文字、数字以外は使えない）"
"postfix記法に直せ  a+b+c, a+(b+c)","ab+c+ , abc++"
postfix記法に直せ  a+b*c+d ,abc*+d+
(infix -> postfix) y=a-b*c+d/e,yabc*-de/+=
(infix -> postfix) a=(x+y)/(p-q)+r,(postfix記法) axy+pq-/r+=
（コンパイラ方式とインタプリタ方式の違い）実行速度は？,コンパイラー＞速い　　インタプリター＞遅い
"（コンパイラ方式とインタプリタ方式の違い）
実行速度
機械度に変換するか？
オブジェクトプログラムを生成するか
プログラムの誤りの修正は容易か否か？
ソースプログラムは完成している必要があるか？
CPUは何の機械語を実行している必要があるか？","コンパイラ方式 , インタプリタ方式
速い , 遅い
する , しない
する , しない
容易でない , 容易
必要がある , 必要がない
ロードプログラム(実行時) , インタプリタ(実行時)
コンパイラ(コンパイル時)
(さらに、リンク時はリンカ,ソースプログラム編集時はプログラムエディタの機械語プログラムエディタの機械語プログラムを実行している)…コンパイラ方式
(さらに、プログラム編集時は、プログラムエディタの機械語プログラムを実行している)…インタプリタ方式"
(infix->postfix) v=a-(p+q*r+s)/t+x*y,vapqr*+s+t/-xy*+=
BNFとは,Backus Naur Form 言語の構文規則(文法)を記述するための言語
コンパイラ方式を説明せよ,高級言語が機械語に変換されたものが生成され実行される
インタプリタ方式を説明せよ,高級言語が機械語に変換されず、インタプリタで解釈・実行するところが大事な部分
コンパイラ方式とインタプリタ方式の違いについて説明せよ,"コンパイラ方式ではソースプログラムに対応する機械語プログラムが生成されこれを CPU が実行するが，
インタプリタでは，ソースプログラムに対応する機械語プログラムは生成されないこと、CPU はインタプリタを実行していること"
中間言語はどのようなものか説明せよ,"前もって、ソースプログラム全体を文法解析し、模擬的に実行できる形式
インタプリタが解釈・実行を行う
ソースプログラム→コンパイラ→中間言語形式のプログラム→インタプリタ
オブジェクトプログラムは生成されない"
"コンパイラ形式の言語はWindows用、Mac用のコンパイラでコンパイルすると、
同じプログラムをどちらのコンピュータでも動かすことができるので（＿＿＿）と呼ばれている。","コンパイラ形式の言語（C 言語など）は，Windows 上で動かす時は，Windows 用のコンパイラを使い，Mac 上で動かすと
きは，Mac 用のコンパイラを使うことで，同じ C 言語のプログラムをどちらのコンピュータ上でも動かすことができるので，
コンパイル前の言語は，（A：機械独立）である． "
"コンパイル後のロードプログラムは，Windows 用のコンパイラで生成された物は，
Mac 上で直接動かすことが（B：_______）ので，（C：_____）である．","コンパイル後のロードプログラムは，Windows 用のコンパイラで生成された物は，
Mac 上で直接動かすことが（B：できない）ので，（C：機械依存）である．"
"JAVA で書かれたソースプログラムは，JAVA のコンパイラでコンパイルすることで、
（______）形式のファイルが生成される","JAVA で書かれたソースプログラムは，JAVA のコンパイラでコンパイルすることで，
（D:中間言語）形式のファイルが生成される．"
この中間言語は，CPU にとって（______）な言語である．,この中間言語は，CPU にとって（E:意味不明）な言語である。
中間言語は，（H）によって実行される．中間言語は，（H）にと って（F）な言語であるので，（G）みたいなものである．,中間言語は，（H：JVM）によって実行される．（D）は，（H）にと って（F：直接解釈し実行可能）な言語であるので，（G：機械語）みたいなものである．
